198380	cd00719	31.87647	GIY-YIG_SF	#ECECEC
198381	cd10434	58.67856	GIY-YIG_UvrC_Cho	#117733
198382	cd10435	138.3444	GIY-YIG_RE_Eco29kI_like	#44AA99
198399	cd10452	348.1389	GIY-YIG_RE_Eco29kI_NgoMIII	#44AA99
198400	cd10453	244.0863	GIY-YIG_RE_Cfr42I	#DDCC77
198383	cd10436	66.53025	GIY-YIG_EndoII_Hpy188I_like	#CC6677
198384	cd10437	75.82158	GIY-YIG_HE_I-TevI_like	#C4E2C7
198385	cd10438	101.3103	GIY-YIG_MSH	#76E68B
198386	cd10439	72.32922	GIY-YIG_COG3410	#71564B
198387	cd10440	56.50821	GIY-YIG_COG3680	#7561F8
198401	cd10454	118.4895	GIY-YIG_COG3680_Meta	#7561F8
198388	cd10441	85.14207	GIY-YIG_COG1833	#592018
198389	cd10442	62.03826	GIY-YIG_PLEs	#A488C4
198390	cd10443	60.93459	GIY-YIG_HE_Tlr8p_PBC-V_like	#2764E9
198391	cd10444	64.83024	GIY-YIG_SegABCDEFG	#46888B
198392	cd10445	70.57944	GIY-YIG_bI1_like	#A207DB
198393	cd10446	96.5862	GIY-YIG_unchar_1	#179951
198394	cd10447	60.52104	GIY-YIG_unchar_2	#F8BA87
198395	cd10448	94.3965	GIY-YIG_unchar_3	#882255
198396	cd10449	64.32228	GIY-YIG_SLX1_like	#88CCEE
198402	cd10455	103.5198	GIY-YIG_SLX1	#88CCEE
198403	cd10456	65.54628	GIY-YIG_UPF0213	#81D3C1
198397	cd10450	75.14505	GIY-YIG_AtGrxS16_like	#ECB306
198404	cd10457	120.7917	GIY-YIG_AtGrxS16	#ECB306
198405	cd10458	105.885	GIY-YIG_NifU	#ECB306
198398	cd10451	61.17057	GIY-YIG_LuxR_like	#87571A
